era,tier,comparator,target_total,comparator_total,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,chi2,IC,IC025,signal
all,primary,bupivacaine_plain,2127,6096,223,641,1904,5455,0.9967233773384548,0.8484475862095785,1.1709120363830912,0.9970669066536991,0.0010582573308212655,-0.0031357834050156313,-0.21729907414208313,False
all,secondary,ropivacaine,2127,1127,223,313,1904,814,0.30459164496469515,0.2517938394173993,0.36846044524744626,0.3774999962448423,46.29696731583301,-0.6506213580502204,-0.8675726361052306,False
pre_2018,primary,bupivacaine_plain,205,2131,62,224,143,1907,3.6911213786213786,2.6573033710345695,5.127143998771733,2.8772212543554008,54.255272821899105,1.287799231046424,0.8582810464451216,True
pre_2018,secondary,ropivacaine,205,388,62,122,143,266,0.9453169781038634,0.6548647200578881,1.3645935743987345,0.9618552578968412,0.04068837748279243,-0.036665516307973406,-0.44872906614802255,False
2018_2020,primary,bupivacaine_plain,958,1950,69,202,889,1748,0.6716412923632071,0.5050952077890848,0.8931029608890846,0.6952913454184666,4.605471870781514,-0.3693355845433685,-0.7495904661594046,False
2018_2020,secondary,ropivacaine,958,265,69,60,889,205,0.2651856017997751,0.18174240276995246,0.3869399894031524,0.31811064718162835,10.16435116990856,-0.5470803814048574,-0.9539406614787436,False
2021_plus,primary,bupivacaine_plain,964,2015,92,215,872,1800,0.8832942180499254,0.6829587124553959,1.1423950839361825,0.8944321142526296,0.5430111192383378,-0.11023315505673685,-0.44591773319447386,False
2021_plus,secondary,ropivacaine,964,474,92,131,872,343,0.2762448350724841,0.2057909043741594,0.3708191532385633,0.34531690475436316,22.111496177773077,-0.697377032824923,-1.034774268132656,False
