pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Urinary retention,48,25,2079,6071,5.6066955266955265,3.4486405531495445,9.115196044528016,5.502736248236953,59.02834259557971,1.3232282493918133,0.7993109289658057,True
Drug effect less than expected,13,7,2114,6089,5.349168806595486,2.131333469777853,13.425213523455124,5.322587144872053,14.031147675196257,1.2507007669216355,0.25915628029906657,True
Product administration error,27,15,2100,6081,5.212285714285715,2.767354841589047,9.817289044055808,5.1588152327221435,30.512556927861354,1.2749712568957454,0.5823432103014827,True
Atelectasis,9,5,2118,6091,5.176487252124646,1.7328604579258127,15.463461093389528,5.158815232722144,8.88111049197311,1.2048258957428468,0.024174829657811925,True
Ventricular arrhythmia,10,6,2117,6090,4.794520547945206,1.7404204588327608,13.20797349169617,4.776680771039022,9.386953566583976,1.178616927153596,0.0619530394647847,True
Peroneal nerve palsy,25,16,2102,6080,4.519505233111323,2.4083448121827997,8.481313576359366,4.478138222849084,24.67949919870774,1.1992549139571134,0.48716545584555426,True
Hypoaesthesia,130,87,1997,6009,4.4962270992695945,3.4112139763528546,5.92635298411287,4.282541380931537,132.87315503248257,1.2044051446571287,0.8899624802910096,True
Procedural nausea,18,12,2109,6084,4.327169274537696,2.0808730913396,8.998335366261534,4.29901269393512,16.551499004770243,1.1633217794477084,0.3295333105162942,True
Off label use,244,179,1883,5917,4.283394203354329,3.507866882674344,5.230376897124911,3.906737792626329,233.6698603060786,1.1534438597068701,0.9244800871371475,True
Rash,32,23,2095,6073,4.033122340977482,2.3547850482282,6.907669058596537,3.987490034954314,28.481161284703084,1.1420192840973578,0.5167721297072512,True
Accidental exposure to product,19,14,2108,6082,3.915627541339117,1.9598068540544664,7.823290856838341,3.889582913560347,15.752649718511497,1.1097282000107316,0.3037740295467952,True
Pain,130,102,1997,5994,3.8254440484255796,2.9373831234180647,4.981993002875946,3.652755883735723,111.6943589282553,1.1087991849757266,0.7981507795546362,True
Insomnia,13,10,2114,6086,3.7425733207190164,1.6386458634506633,8.547823158972314,3.7258110014104373,9.756940792464691,1.0657474761305576,0.09963757889076974,True
Paraesthesia,36,31,2091,6065,3.368352848613875,2.0784347593055057,5.458819846025058,3.3282678920788027,25.906611949923008,1.033546367501465,0.4518588954145174,True
