pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Acute coronary syndrome,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Acute respiratory failure,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Adhesiolysis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Administration site necrosis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Administration site oedema,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Administration site pain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Administration site pruritus,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Adverse reaction,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Aggression,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Airway complication of anaesthesia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Alopecia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Amputation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Amyotrophic lateral sclerosis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Anal hypoaesthesia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Anastomotic stenosis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Aneurysm,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Angina pectoris,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Arterial injury,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Arthritis bacterial,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Bacterial test positive,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Behaviour disorder due to a general medical condition,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Blood disorder,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Blood glucose abnormal,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Blood pressure diastolic decreased,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Bradyarrhythmia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Bradyphrenia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Brain death,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Brain fog,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Breast pain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Breast swelling,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Bursitis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
COVID-19,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Cardiac tamponade,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Central venous catheterisation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Cerebral disorder,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Chest injury,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Choking,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Clostridium difficile colitis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Clostridium difficile infection,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Confusion postoperative,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Contraindicated product administered,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Conversion disorder,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Corneal abrasion,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Crepitations,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Decreased appetite,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Deep vein thrombosis postoperative,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Depressed mood,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Depression,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Device dislocation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Device mechanical issue,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Diaphragmatic injury,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Diaphragmatic operation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Diarrhoea,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Dissociative disorder,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Disturbance in sexual arousal,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Documented hypersensitivity to administered product,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Donor site complication,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Drug ineffective for unapproved indication,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Drug monitoring procedure not performed,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Drug tolerance,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Dyschezia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Dyspepsia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Dystonia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Echocardiogram,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Elective surgery,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Electric shock sensation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Electrocardiogram PR prolongation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Electrolyte imbalance,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Embolism venous,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Emergency care examination,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Enterocolitis viral,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Euphoric mood,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Excessive granulation tissue,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Expulsion of medication,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Extrapyramidal disorder,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Eye swelling,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Eyelid pain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Facial pain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Facial spasm,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Fasciitis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Fat embolism,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Fibula fracture,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Formication,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Fracture treatment,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Freezing phenomenon,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Gastroenteritis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Gastrointestinal disorder,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Gastrointestinal ulcer,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
General physical health deterioration,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Genital contusion,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Genital swelling,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Glossodynia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Graft loss,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Graft thrombosis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Granuloma,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Groin pain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Haemarthrosis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Haematochezia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Haematuria,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Haemorrhagic anaemia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Haemorrhagic stroke,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Haemorrhoids,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Head titubation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hearing impaired,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Human epidermal growth factor receptor decreased,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hypercapnia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hypoaesthesia eye,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hypobarism,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hypocapnia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hypoglossal nerve paralysis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hypophagia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Hypothermia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Iatrogenic injury,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Impaired driving ability,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Incision site dermatitis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Incision site pain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Incision site seroma,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Incision site swelling,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Incorrect drug dosage form administered,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Induration,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Inflammation of wound,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Inflammatory marker increased,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Influenza like illness,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Infusion site pain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injected limb mobility decreased,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection related reaction,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site extravasation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site fibrosis,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site haematoma,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site hypoaesthesia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site infection,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site irritation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site mass,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site movement impairment,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site oedema,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site paraesthesia,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Injection site swelling,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Instillation site erythema,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Insurance issue,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Intentional product misuse,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Intercepted medication error,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Interleukin level increased,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Interventional procedure,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Ischaemic cardiomyopathy,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Ischaemic stroke,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Joint dislocation postoperative,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Joint manipulation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Joint noise,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Joint range of motion decreased,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Labelled drug-drug interaction issue,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Laboratory test abnormal,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Laryngeal oedema,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Ligament sprain,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Lip dry,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Local swelling,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Loss of personal independence in daily activities,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Loss of therapeutic response,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Maternal exposure during breast feeding,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Mechanical ventilation,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Median nerve injury,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Medical device site joint infection,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Medical diet,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Mental status changes postoperative,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Mitochondrial myopathy,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
Monocyte chemotactic protein-1 increased,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,0.6796444703558067,0.019038882956886046,-3.0346160257758132,False
