era,comparator,target_cases,comparator_cases,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,IC025
all,bupivacaine_plain,2127,6096,222,235,1905,5861,2.906443290333389,2.402097028172532,3.5166825073467596,2.707463313627225,0.6734399661141945
pre_2018,bupivacaine_plain,205,2131,14,85,191,2046,1.7643363104404064,0.9834593267214353,3.1652377803115685,1.7121377331420375,-0.15443195482527783
2018_2020,bupivacaine_plain,958,1950,111,55,847,1895,4.515294622732639,3.2357968793591336,6.300730945174843,4.10799013095464,0.6684949235310618
2021_plus,bupivacaine_plain,964,2015,97,95,867,1920,2.26115461664542,1.6850771673791503,3.034175703851601,2.134254203974667,0.28669592998774696
all,ropivacaine,2127,1127,222,143,1905,984,0.8018941688233027,0.6410899784484484,1.0030327717008969,0.8225709410476689,-0.33652898639134926
pre_2018,ropivacaine,205,388,14,49,191,339,0.5071054599850411,0.2728286130190661,0.9425549054441343,0.5407665505226481,-1.4417551642954205
2018_2020,ropivacaine,958,265,111,32,847,233,0.9542134002361274,0.6274994852976014,1.4510341992684859,0.9595185281837161,-0.35391504022415504
2021_plus,ropivacaine,964,474,97,62,867,412,0.7434609517431262,0.5293910481651812,1.0440943206019802,0.7692745281756124,-0.4871397096499078
