era,comparator,target_cases,comparator_cases,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,IC025,subgroup
all,bupivacaine_plain,2127,6096,26,16,2101,6080,4.702522608281771,2.517705116790167,8.78328392547975,4.657263751763047,0.5210282281750497,peroneal_specific
pre_2018,bupivacaine_plain,205,2131,7,4,198,2127,18.799242424242426,5.456021810912715,64.7745789832749,18.19146341463415,1.017747476695765,peroneal_specific
2018_2020,bupivacaine_plain,958,1950,16,3,942,1947,11.023354564755838,3.2040812698938566,37.92486382979568,10.855949895615865,0.3416220639228369,peroneal_specific
2021_plus,bupivacaine_plain,964,2015,3,9,961,2006,0.6958029830038154,0.18794312309066813,2.576001628553584,0.6967496542185339,-2.034715620299594,peroneal_specific
all,ropivacaine,2127,1127,26,9,2101,1118,1.5372573906605318,0.7178552197599954,3.291973395318509,1.5306900694770935,-0.5425883723089449,peroneal_specific
pre_2018,ropivacaine,205,388,7,3,198,385,4.537037037037037,1.1605890949497373,17.73642813379812,4.416260162601626,-0.42886135154497296,peroneal_specific
2018_2020,ropivacaine,958,265,16,3,942,262,1.4833687190375089,0.4289566226141106,5.129616004549823,1.475295755045233,-0.8387597369855977,peroneal_specific
2021_plus,ropivacaine,964,474,3,3,961,471,0.4901144640998959,0.09854496081306868,2.4375897655039918,0.491701244813278,-2.2421857716635394,peroneal_specific
all,bupivacaine_plain,2127,6096,190,197,1937,5899,2.937217791917482,2.390881278124918,3.6083968016691514,2.7641705984692817,0.6692243203284887,prolonged_block
pre_2018,bupivacaine_plain,205,2131,7,76,198,2055,0.9559409888357255,0.43480713661032094,2.101674736206557,0.9574454428754814,-1.1446913383477804,prolonged_block
2018_2020,bupivacaine_plain,958,1950,92,46,866,1904,4.397228637413395,3.0588453958379827,6.321215095080475,4.070981210855949,0.6291796482789678,prolonged_block
2021_plus,bupivacaine_plain,964,2015,91,75,873,1940,2.696296296296296,1.9658804262067613,3.698095581250017,2.5361687413554637,0.38671139321100634,prolonged_block
all,ropivacaine,2127,1127,190,122,1937,1005,0.8080350719805005,0.6357378526421765,1.0270281608007812,0.8251828558656462,-0.3547730755715487,prolonged_block
pre_2018,ropivacaine,205,388,7,35,198,353,0.35656565656565653,0.15548537609044188,0.817691480954094,0.3785365853658537,-2.1211348725027026,prolonged_block
2018_2020,ropivacaine,958,265,92,29,866,236,0.8645377080512862,0.5559483580332242,1.3444152462051229,0.8775466129148369,-0.418237695895174,prolonged_block
2021_plus,ropivacaine,964,474,91,58,873,416,0.7476399257415965,0.5271657019038853,1.060322127452845,0.7714622978966947,-0.4977052325400949,prolonged_block
all,bupivacaine_plain,2127,6096,19,37,2108,6059,1.4759859479973334,0.8469808596579783,2.5721177684762644,1.4717340754012123,-0.36330290920359604,peripheral_neuropathy
pre_2018,bupivacaine_plain,205,2131,2,11,203,2120,1.8987908643081057,0.41798382483672053,8.625708776621495,1.890022172949002,-1.346793255385116,peripheral_neuropathy
2018_2020,bupivacaine_plain,958,1950,9,7,949,1943,2.632395002258016,0.9773618244448373,7.090008300507427,2.6170593498359676,-0.4325611112008637,peripheral_neuropathy
2021_plus,bupivacaine_plain,964,2015,8,19,956,1996,0.8791015194890992,0.38346268055860844,2.015370779868956,0.8801048263813059,-1.2297961412735405,peripheral_neuropathy
all,ropivacaine,2127,1127,19,22,2108,1105,0.45271260997067453,0.24398574124288375,0.8400028058296941,0.45760140188913107,-1.2594383359815453,peripheral_neuropathy
pre_2018,ropivacaine,205,388,2,13,203,375,0.28419856006062905,0.06350901570705834,1.2717693801631125,0.29118198874296436,-3.1121948217785853,peripheral_neuropathy
2018_2020,ropivacaine,958,265,9,2,949,263,1.2471022128556375,0.2678159165135833,5.807212467264047,1.2447807933194153,-1.1757442831520364,peripheral_neuropathy
2021_plus,ropivacaine,964,474,8,7,956,467,0.5582785415421399,0.20122911063626625,1.5488560723691216,0.5619442797866034,-1.5158729759214287,peripheral_neuropathy
